custid,총구매액,구매건수,평균구매가격,구매브랜드종류,내점일수,주말방문비율,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,점심_구매건수,주구매코너별여성비율등급,gender,pred_prob
103939,21107890,52,405921,31,32,56.2,15.0,6.0,19.0,12.0,20.0,25.0,2,1,0.9592145
103756,6819493,86,79296,41,48,29.2,19.0,21.0,22.0,24.0,32.0,49.0,1,1,0.95790863
101132,40732742,264,154291,36,152,30.9,95.0,32.0,55.0,82.0,89.0,168.0,1,1,0.95764565
103201,25682850,155,165696,70,47,25.5,33.0,47.0,27.0,48.0,9.0,105.0,5,1,0.9571585
101072,10306252,91,113256,39,40,50.0,13.0,30.0,18.0,30.0,4.0,51.0,5,1,0.95658875
100612,5528357,62,89167,29,17,23.5,6.0,22.0,6.0,28.0,40.0,21.0,1,1,0.95588744
101709,19060478,136,140151,70,74,24.3,35.0,32.0,30.0,39.0,24.0,83.0,1,1,0.95494455
100647,24616447,174,141474,71,61,45.9,37.0,33.0,56.0,48.0,9.0,59.0,5,1,0.953959
100622,9246458,273,33870,29,176,29.5,77.0,66.0,62.0,68.0,44.0,185.0,1,1,0.9531062
101963,19961593,215,92845,69,100,28.0,40.0,59.0,71.0,45.0,68.0,120.0,1,1,0.952538
103179,27971685,222,125999,64,119,37.8,45.0,74.0,40.0,63.0,71.0,117.0,1,1,0.9522197
101074,24769720,120,206414,59,38,34.2,32.0,27.0,35.0,26.0,13.0,85.0,5,1,0.95189166
103846,42115060,100,421151,49,38,28.9,15.0,24.0,22.0,39.0,3.0,80.0,1,1,0.9512014
100029,6399559,147,43534,47,55,32.7,46.0,34.0,35.0,32.0,28.0,94.0,5,1,0.9504623
102532,16622326,180,92346,45,77,39.0,67.0,31.0,17.0,65.0,9.0,110.0,1,1,0.9499177
104467,8110110,60,135168,22,33,27.3,15.0,13.0,11.0,21.0,14.0,36.0,1,1,0.94809294
102813,5721900,57,100384,31,25,56.0,10.0,11.0,17.0,19.0,8.0,35.0,2,1,0.94757664
102288,18545458,46,403162,28,29,48.3,20.0,3.0,12.0,11.0,4.0,35.0,5,1,0.9473662
102524,10050518,201,50003,66,118,28.8,32.0,27.0,78.0,64.0,30.0,155.0,1,1,0.9471267
103647,11056263,161,68672,36,99,31.3,36.0,27.0,36.0,62.0,23.0,94.0,1,1,0.94704133
103852,105300,4,26325,3,4,25.0,0.0,3.0,0.0,1.0,0.0,4.0,2,1,0.9467434
101463,43581669,104,419055,52,55,40.0,17.0,15.0,43.0,29.0,9.0,85.0,5,1,0.94631124
100388,38174467,274,139323,70,136,27.2,76.0,52.0,70.0,76.0,135.0,123.0,1,1,0.94477606
103700,3900650,47,82993,28,28,10.7,13.0,22.0,5.0,7.0,25.0,21.0,5,1,0.9407479
101596,15630810,89,175627,42,47,27.7,20.0,26.0,20.0,23.0,10.0,68.0,1,1,0.9399011
104268,16804065,105,160039,49,51,27.5,37.0,29.0,20.0,19.0,17.0,48.0,1,1,0.9393624
100250,22457520,180,124764,62,95,33.7,44.0,35.0,60.0,41.0,16.0,153.0,1,1,0.9392859
101233,1384600,31,44665,15,12,33.3,10.0,6.0,5.0,10.0,13.0,17.0,5,1,0.93860495
101301,9392092,104,90309,27,38,28.9,22.0,23.0,20.0,39.0,1.0,99.0,1,1,0.9380625
100570,5528327,179,30885,41,90,34.4,44.0,29.0,47.0,59.0,8.0,135.0,1,1,0.9378193
103239,3379074,57,59282,26,25,44.0,10.0,12.0,21.0,14.0,33.0,19.0,1,1,0.9373694
102522,25998107,173,150278,56,74,35.1,35.0,43.0,53.0,42.0,13.0,129.0,1,1,0.9369856
103018,1354549,29,46709,11,21,9.5,3.0,6.0,10.0,10.0,9.0,17.0,1,1,0.9359554
101821,2487246,47,52920,34,27,25.9,9.0,12.0,5.0,21.0,30.0,15.0,1,1,0.9349647
102948,8502033,156,54500,45,66,34.8,44.0,35.0,40.0,37.0,8.0,100.0,1,1,0.9347954
104324,5497663,89,61771,32,47,57.4,21.0,22.0,28.0,18.0,35.0,53.0,1,1,0.9345335
102715,9062200,98,92471,38,42,26.2,23.0,26.0,16.0,33.0,30.0,65.0,5,1,0.9329684
103912,13447281,89,151093,45,46,39.1,20.0,22.0,10.0,37.0,9.0,44.0,1,1,0.9328612
101637,7684300,32,240134,24,14,28.6,9.0,5.0,15.0,3.0,2.0,30.0,3,1,0.93240374
103949,6193473,231,26812,36,122,34.4,59.0,52.0,58.0,62.0,43.0,88.0,1,1,0.9312164
100953,10093922,141,71588,47,66,27.3,48.0,34.0,17.0,42.0,5.0,95.0,1,1,0.93118644
101549,42086027,148,284365,57,65,29.2,61.0,20.0,27.0,40.0,11.0,76.0,1,1,0.93082523
100481,11118442,189,58828,58,114,33.3,33.0,33.0,49.0,74.0,27.0,119.0,1,1,0.93023634
102020,29152276,238,122489,52,118,28.8,63.0,28.0,56.0,91.0,2.0,171.0,1,1,0.9302032
103598,10350003,216,47917,31,124,32.3,58.0,41.0,48.0,69.0,58.0,144.0,1,1,0.92971826
104193,2714273,59,46005,19,29,24.1,12.0,8.0,5.0,34.0,14.0,43.0,1,1,0.929096
104645,5490830,249,22052,40,143,38.5,62.0,59.0,58.0,70.0,96.0,109.0,1,1,0.9268804
101248,14432492,184,78437,22,136,33.8,49.0,42.0,42.0,51.0,126.0,58.0,1,1,0.9251806
104642,8798100,80,109976,37,46,17.4,19.0,23.0,18.0,20.0,38.0,38.0,1,1,0.9233952
100798,1645560,3,548520,3,2,100.0,0.0,0.0,2.0,1.0,0.0,3.0,5,1,0.9220444
100582,782392,17,46023,9,11,9.1,6.0,4.0,4.0,3.0,4.0,12.0,1,1,0.91946024
100024,10525869,98,107407,42,34,32.4,26.0,31.0,16.0,25.0,22.0,57.0,3,1,0.9192825
100563,6850336,112,61164,21,45,28.9,40.0,26.0,17.0,29.0,20.0,76.0,1,1,0.9184052
101773,15131700,47,321951,26,17,29.4,16.0,4.0,17.0,10.0,1.0,28.0,3,1,0.9180121
101279,26904456,401,67093,71,110,29.1,121.0,130.0,75.0,75.0,119.0,243.0,1,1,0.91739494
104662,3855101,61,63198,29,24,8.3,1.0,31.0,14.0,15.0,17.0,44.0,1,1,0.9165803
102535,5771270,141,40931,53,72,31.9,35.0,17.0,29.0,60.0,31.0,76.0,1,1,0.914394
102576,168000,2,84000,2,1,100.0,0.0,0.0,0.0,2.0,2.0,0.0,2,1,0.9138217
103378,10313700,59,174808,49,34,35.3,13.0,15.0,14.0,17.0,2.0,47.0,5,1,0.9128879
100459,1375920,29,47446,17,13,15.4,8.0,0.0,15.0,6.0,3.0,24.0,5,1,0.9119198
101157,6726282,81,83041,35,40,40.0,23.0,18.0,13.0,27.0,31.0,38.0,1,1,0.91089094
102374,5550600,73,76036,30,38,28.9,15.0,12.0,17.0,29.0,16.0,41.0,1,1,0.91060597
103655,7111359,65,109406,32,23,26.1,13.0,3.0,11.0,38.0,29.0,34.0,5,1,0.9099124
103136,2628381,30,87613,18,21,38.1,9.0,8.0,6.0,7.0,5.0,24.0,5,1,0.90893084
103977,6289244,76,82753,40,36,33.3,19.0,21.0,12.0,24.0,4.0,58.0,1,1,0.9083602
100722,9410692,99,95057,40,55,27.3,13.0,29.0,36.0,21.0,13.0,73.0,1,1,0.9081367
104720,14491802,105,138017,48,39,33.3,29.0,22.0,37.0,17.0,18.0,86.0,1,1,0.9057616
101356,5259200,243,21643,57,73,32.9,34.0,84.0,59.0,66.0,17.0,155.0,1,1,0.905003
101102,6443331,46,140072,26,24,37.5,19.0,9.0,14.0,4.0,2.0,29.0,5,1,0.9018256
104021,13523707,91,148612,60,40,22.5,35.0,31.0,18.0,7.0,19.0,61.0,1,1,0.9011036
102790,860000,3,286667,3,3,66.7,2.0,0.0,0.0,1.0,0.0,2.0,5,1,0.9009827
100305,2784102,76,36633,23,50,46.0,16.0,13.0,24.0,23.0,29.0,27.0,1,1,0.900891
101758,23691643,121,195799,83,42,45.2,43.0,20.0,26.0,32.0,8.0,68.0,1,1,0.90041447
100990,9266840,53,174846,25,37,37.8,14.0,8.0,17.0,14.0,21.0,32.0,1,1,0.8993108
101389,26724309,102,262003,40,42,28.6,23.0,29.0,38.0,12.0,10.0,58.0,5,1,0.8990099
104895,905240,40,22631,20,17,35.3,13.0,9.0,10.0,8.0,10.0,27.0,1,1,0.898429
103540,25104347,69,363831,33,29,34.5,24.0,12.0,12.0,21.0,11.0,53.0,5,1,0.8974306
101552,2151724,68,31643,30,33,42.4,13.0,11.0,24.0,20.0,17.0,35.0,1,1,0.8959545
104479,22321991,238,93790,48,118,34.7,78.0,43.0,49.0,68.0,16.0,172.0,1,1,0.8954194
101673,5648320,183,30865,66,58,27.6,56.0,43.0,43.0,41.0,29.0,129.0,1,1,0.8939485
102117,1852040,4,463010,4,3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1,1,0.8927148
102322,5107203,166,30766,51,62,32.3,50.0,30.0,39.0,47.0,8.0,104.0,1,1,0.89242095
101569,10037557,150,66917,47,70,34.3,32.0,38.0,44.0,36.0,16.0,96.0,1,1,0.8904273
103559,6953064,83,83772,37,47,38.3,0.0,33.0,50.0,0.0,5.0,47.0,1,1,0.8895578
104824,3939383,68,57932,25,45,26.7,11.0,13.0,24.0,20.0,29.0,26.0,1,1,0.8892367
102922,30317752,101,300176,54,65,49.2,25.0,19.0,32.0,25.0,37.0,63.0,5,1,0.8889678
102829,872000,4,218000,3,2,50.0,0.0,4.0,0.0,0.0,2.0,2.0,1,1,0.8888986
103066,9397888,91,103273,37,54,33.3,39.0,10.0,8.0,34.0,23.0,32.0,3,1,0.88865
103567,4282772,45,95173,23,31,32.3,9.0,7.0,11.0,18.0,24.0,21.0,1,1,0.88848394
101101,1668600,7,238371,6,4,50.0,0.0,6.0,1.0,0.0,2.0,5.0,5,1,0.8882116
102232,15444784,56,275800,34,31,35.5,16.0,12.0,18.0,10.0,10.0,43.0,5,1,0.8877118
100369,4543800,50,90876,25,25,60.0,10.0,25.0,4.0,11.0,18.0,29.0,5,1,0.8876782
102206,26172045,105,249258,34,53,45.3,24.0,13.0,28.0,40.0,5.0,82.0,1,1,0.8871546
100726,10766906,197,54654,55,80,31.2,37.0,50.0,66.0,44.0,2.0,115.0,1,1,0.88656574
100136,43951227,87,505187,40,37,43.2,42.0,10.0,15.0,20.0,2.0,61.0,1,1,0.8842069
104407,4890035,77,63507,24,48,33.3,20.0,15.0,21.0,21.0,23.0,53.0,1,1,0.8840211
101826,2429700,19,127879,15,12,75.0,10.0,1.0,2.0,6.0,3.0,9.0,5,1,0.8839587
104226,41114502,305,134802,26,187,35.8,61.0,66.0,72.0,106.0,53.0,252.0,1,1,0.8833488
101344,36310307,125,290482,73,51,35.3,32.0,20.0,28.0,45.0,10.0,99.0,1,1,0.88272864
102899,571600,2,285800,2,1,100.0,2.0,0.0,0.0,0.0,0.0,2.0,5,1,0.8825003
100528,6693640,36,185934,25,20,35.0,11.0,8.0,9.0,8.0,27.0,9.0,1,1,0.88196695
101864,3275200,14,233943,10,10,60.0,8.0,3.0,1.0,2.0,3.0,9.0,5,1,0.8811848
101931,4583542,61,75140,31,21,28.6,20.0,12.0,14.0,15.0,39.0,21.0,1,1,0.8809827
103866,38796332,108,359225,23,54,55.6,31.0,30.0,39.0,8.0,30.0,69.0,1,1,0.88082194
101534,15158267,108,140354,33,54,51.9,24.0,20.0,26.0,38.0,10.0,46.0,1,1,0.87966126
102177,18142101,114,159141,55,66,24.2,20.0,29.0,37.0,28.0,34.0,76.0,1,1,0.87963605
103564,538076,16,33630,5,8,0.0,3.0,5.0,2.0,6.0,7.0,9.0,1,1,0.8793139
100581,11990450,77,155720,40,48,43.8,23.0,16.0,16.0,22.0,14.0,37.0,5,1,0.87879944
103204,8653300,26,332819,13,21,28.6,5.0,8.0,2.0,11.0,4.0,13.0,5,1,0.8782453
102997,19099318,72,265268,37,33,33.3,16.0,8.0,12.0,36.0,6.0,45.0,5,1,0.8777577
101002,15276902,95,160809,55,28,46.4,7.0,15.0,9.0,64.0,12.0,82.0,5,1,0.8776984
101137,6513817,121,53833,63,57,29.8,27.0,29.0,32.0,33.0,20.0,97.0,1,1,0.87748754
101994,5882505,91,64643,48,50,30.0,27.0,20.0,23.0,21.0,11.0,74.0,1,1,0.8773923
100444,7462900,59,126490,33,37,29.7,10.0,12.0,16.0,21.0,11.0,40.0,5,1,0.8763657
103068,639200,8,79900,7,5,40.0,2.0,0.0,4.0,2.0,3.0,5.0,2,1,0.87629014
104181,7820400,27,289644,18,10,60.0,8.0,8.0,5.0,6.0,17.0,9.0,1,1,0.8759341
101926,9080336,170,53414,36,91,37.4,59.0,24.0,14.0,73.0,59.0,92.0,1,1,0.87463766
104901,4638166,54,85892,30,25,20.0,13.0,9.0,11.0,21.0,40.0,14.0,3,1,0.8745614
104234,32650250,136,240075,74,79,40.5,32.0,34.0,31.0,39.0,9.0,60.0,1,1,0.8740413
103420,16637120,237,70199,88,100,36.0,58.0,61.0,54.0,64.0,103.0,117.0,1,1,0.8734281
100174,676759,10,67676,5,9,0.0,1.0,2.0,3.0,4.0,2.0,7.0,1,1,0.8725982
103914,15013238,106,141634,53,67,38.8,21.0,9.0,47.0,29.0,32.0,25.0,1,1,0.87115884
102401,10491959,77,136259,34,33,45.5,9.0,23.0,27.0,18.0,11.0,47.0,1,1,0.8704298
102405,2920560,12,243380,12,5,40.0,6.0,1.0,2.0,3.0,0.0,4.0,5,1,0.86993927
100627,14828716,99,149785,45,44,27.3,18.0,9.0,43.0,29.0,16.0,80.0,5,1,0.8686862
104302,2049500,16,128094,12,8,87.5,3.0,4.0,4.0,5.0,2.0,6.0,3,1,0.8678861
102925,8942409,201,44490,39,122,32.0,79.0,46.0,33.0,43.0,32.0,124.0,1,1,0.86778986
104337,15777261,105,150260,60,35,25.7,23.0,19.0,26.0,37.0,32.0,69.0,1,1,0.86737937
102577,5176829,93,55665,35,51,29.4,25.0,19.0,20.0,29.0,44.0,46.0,1,1,0.86737186
101855,1174000,10,117400,8,5,40.0,9.0,1.0,0.0,0.0,2.0,8.0,3,1,0.86717284
103228,14642303,78,187722,36,44,22.7,26.0,16.0,14.0,22.0,24.0,49.0,1,1,0.86636835
101524,26860678,119,225720,54,60,58.3,20.0,30.0,52.0,17.0,9.0,95.0,5,1,0.86636585
103097,34301268,204,168143,81,81,25.9,60.0,26.0,81.0,37.0,27.0,169.0,1,1,0.86515135
100801,7613800,98,77692,41,49,24.5,14.0,22.0,27.0,35.0,11.0,68.0,2,1,0.8647625
101313,5738010,70,81972,31,38,44.7,5.0,23.0,21.0,21.0,27.0,42.0,1,1,0.86467373
103159,19800632,121,163642,67,56,37.5,39.0,40.0,23.0,19.0,35.0,76.0,5,1,0.8642501
100405,5304904,70,75784,34,29,31.0,27.0,11.0,19.0,13.0,54.0,16.0,1,1,0.8630899
100380,6486309,92,70503,31,54,59.3,23.0,30.0,14.0,25.0,11.0,37.0,5,1,0.8629436
104978,2680811,48,55850,28,26,7.7,20.0,5.0,9.0,14.0,33.0,15.0,1,1,0.8609244
100942,7827500,117,66902,31,78,23.1,25.0,26.0,32.0,34.0,52.0,65.0,1,1,0.8601865
103021,23682900,92,257423,45,44,43.2,19.0,21.0,26.0,26.0,20.0,63.0,5,1,0.85951203
104026,3423172,64,53487,15,38,26.3,15.0,12.0,5.0,32.0,9.0,27.0,1,1,0.8593925
103913,3829200,32,119662,16,18,55.6,8.0,1.0,5.0,18.0,6.0,24.0,5,1,0.8592762
103713,10307933,70,147256,33,32,53.1,18.0,12.0,12.0,28.0,24.0,38.0,1,1,0.85773665
101346,6355296,92,69079,38,42,19.0,22.0,13.0,46.0,11.0,60.0,32.0,1,1,0.85743874
100420,9946142,54,184188,30,23,30.4,24.0,6.0,18.0,6.0,5.0,38.0,1,1,0.8565454
104357,12331709,149,82763,69,81,37.0,36.0,47.0,14.0,52.0,23.0,106.0,1,1,0.8562087
102035,1939507,25,77580,16,17,70.6,8.0,5.0,4.0,8.0,9.0,15.0,3,1,0.8560522
102040,6876437,79,87044,42,50,38.0,16.0,20.0,26.0,17.0,14.0,41.0,1,1,0.85562503
103112,630400,6,105067,5,4,25.0,1.0,3.0,2.0,0.0,0.0,5.0,3,1,0.85536313
101759,954124,27,35338,16,17,23.5,5.0,5.0,9.0,8.0,4.0,22.0,2,1,0.85527164
103927,33770888,267,126483,85,82,46.3,46.0,65.0,95.0,61.0,41.0,120.0,1,1,0.8547274
103532,4867800,40,121695,16,21,28.6,17.0,12.0,6.0,5.0,7.0,27.0,1,1,0.85448295
100054,2475770,63,39298,12,51,52.9,14.0,8.0,18.0,23.0,25.0,30.0,1,1,0.8543674
103116,9742992,74,131662,35,45,48.9,14.0,19.0,13.0,28.0,11.0,46.0,1,1,0.8541219
104731,7240532,78,92827,38,43,30.2,23.0,30.0,7.0,18.0,19.0,55.0,1,1,0.8530224
101139,22264860,61,364998,33,28,32.1,10.0,22.0,17.0,12.0,19.0,27.0,1,1,0.8526783
103147,6462392,21,307733,9,12,33.3,7.0,1.0,7.0,6.0,5.0,16.0,5,1,0.8523555
103666,10314976,45,229222,31,25,24.0,2.0,5.0,35.0,3.0,14.0,25.0,3,1,0.852352
104361,20285012,36,563473,19,21,33.3,8.0,4.0,20.0,4.0,2.0,31.0,5,1,0.8516027
103691,1030410,40,25760,35,21,33.3,9.0,6.0,15.0,10.0,27.0,12.0,1,1,0.8515482
102179,901600,17,53035,10,8,62.5,7.0,0.0,3.0,7.0,4.0,11.0,2,1,0.85108286
101955,2580328,27,95568,15,10,20.0,11.0,4.0,8.0,4.0,5.0,17.0,1,1,0.85074466
101117,8016603,94,85283,36,52,40.4,19.0,32.0,25.0,18.0,10.0,78.0,5,1,0.85051155
104414,1896192,20,94810,15,9,55.6,9.0,4.0,7.0,0.0,11.0,9.0,5,1,0.84973127
100351,16944100,80,211801,44,33,33.3,30.0,7.0,23.0,20.0,22.0,54.0,1,1,0.8491147
101993,221400,5,44280,3,5,20.0,1.0,0.0,2.0,2.0,4.0,0.0,1,1,0.8483073
101975,5840436,101,57826,33,66,33.3,28.0,21.0,22.0,30.0,17.0,72.0,1,1,0.848281
100944,4533733,48,94453,32,26,50.0,6.0,5.0,11.0,26.0,15.0,24.0,5,1,0.8476936
104696,7842500,39,201090,19,26,23.1,17.0,5.0,11.0,6.0,8.0,29.0,2,1,0.8471032
100658,7101749,35,202907,16,20,35.0,5.0,7.0,13.0,10.0,13.0,19.0,1,1,0.8466385
100653,6261337,38,164772,22,15,60.0,12.0,8.0,8.0,10.0,5.0,31.0,1,1,0.84527737
102621,971400,3,323800,3,3,66.7,1.0,2.0,0.0,0.0,0.0,3.0,1,1,0.84505844
103748,7595500,41,185256,32,24,16.7,9.0,13.0,12.0,7.0,7.0,30.0,1,1,0.84443086
102630,9619920,83,115903,45,30,33.3,13.0,34.0,20.0,16.0,11.0,54.0,5,1,0.8440039
103221,6149881,112,54910,41,55,27.3,34.0,28.0,29.0,21.0,4.0,66.0,1,1,0.84320587
101762,48470078,168,288512,62,59,39.0,55.0,34.0,24.0,55.0,17.0,115.0,5,1,0.8424389
101698,13811331,95,145382,45,34,35.3,38.0,15.0,21.0,21.0,11.0,50.0,1,1,0.8419763
101203,14525845,244,59532,63,131,27.5,54.0,58.0,70.0,62.0,38.0,206.0,1,1,0.8417326
101045,3465446,85,40770,23,44,81.8,20.0,27.0,20.0,18.0,55.0,24.0,1,1,0.84165287
100778,2814621,37,76071,20,17,35.3,3.0,4.0,9.0,21.0,14.0,17.0,1,1,0.84097815
102175,6023600,72,83661,37,42,35.7,11.0,16.0,19.0,26.0,4.0,47.0,5,1,0.8408895
104172,13489537,215,62742,30,147,20.4,57.0,53.0,50.0,55.0,137.0,71.0,1,1,0.8404628
100642,13146888,45,292153,26,30,30.0,13.0,15.0,6.0,11.0,9.0,24.0,1,1,0.83985454
102724,4457420,59,75549,24,29,10.3,10.0,12.0,16.0,21.0,18.0,24.0,1,1,0.8387744
101999,7041569,162,43466,52,80,28.7,54.0,34.0,45.0,29.0,2.0,94.0,1,1,0.8382754
100513,3290853,46,71540,17,31,54.8,9.0,7.0,12.0,18.0,13.0,31.0,1,1,0.83809656
100041,22333124,61,366117,31,24,25.0,21.0,14.0,10.0,16.0,10.0,42.0,5,1,0.8380263
102711,9874220,85,116167,61,20,55.0,29.0,12.0,13.0,31.0,24.0,57.0,5,1,0.8377411
104447,45405147,204,222574,81,97,50.5,53.0,58.0,55.0,38.0,34.0,106.0,1,1,0.8370655
103203,9084700,51,178131,34,30,26.7,20.0,15.0,7.0,9.0,13.0,32.0,5,1,0.8365206
101983,1276796,23,55513,18,13,7.7,5.0,4.0,5.0,9.0,3.0,20.0,5,1,0.8360926
104793,2533309,67,37811,27,46,28.3,4.0,16.0,17.0,30.0,24.0,40.0,1,1,0.8358217
101978,17071100,72,237099,43,32,25.0,7.0,18.0,18.0,29.0,9.0,56.0,1,1,0.8343462
104912,876880,11,79716,8,4,50.0,0.0,2.0,9.0,0.0,2.0,9.0,1,1,0.83182216
102011,39956387,175,228322,46,91,50.5,36.0,36.0,43.0,60.0,13.0,153.0,1,1,0.8264745
104614,9759625,100,97596,26,66,33.3,19.0,29.0,28.0,24.0,33.0,47.0,1,1,0.826461
104088,7507811,75,100104,31,34,29.4,18.0,22.0,15.0,20.0,1.0,56.0,5,1,0.8263832
101682,5797396,71,81653,29,23,34.8,13.0,12.0,11.0,35.0,12.0,50.0,1,1,0.8258701
102574,6115057,72,84931,47,36,44.4,24.0,12.0,15.0,21.0,20.0,39.0,5,1,0.82531995
102952,13381911,97,137958,40,42,33.3,30.0,15.0,27.0,25.0,13.0,71.0,5,1,0.82501096
103988,626000,2,313000,1,1,100.0,0.0,0.0,0.0,2.0,0.0,2.0,1,1,0.82463884
101771,7495274,101,74211,43,42,19.0,17.0,22.0,37.0,25.0,28.0,67.0,1,1,0.8243827
103671,7461983,112,66625,44,34,44.1,24.0,13.0,29.0,46.0,46.0,64.0,1,1,0.82433444
102624,10730796,58,185014,40,27,22.2,20.0,11.0,8.0,19.0,13.0,40.0,5,1,0.8241039
103937,753635,45,16747,4,39,12.8,10.0,8.0,13.0,14.0,13.0,30.0,1,1,0.82375234
104256,4890700,43,113737,29,30,33.3,9.0,17.0,13.0,4.0,19.0,23.0,3,1,0.82351196
100644,13742100,42,327193,30,15,40.0,4.0,22.0,11.0,5.0,6.0,35.0,5,1,0.82316613
100522,17104947,63,271507,36,21,47.6,20.0,12.0,15.0,16.0,18.0,41.0,1,1,0.822871
101184,2392000,9,265778,8,6,50.0,6.0,1.0,2.0,0.0,6.0,2.0,5,1,0.8223774
102369,6398045,46,139088,35,21,38.1,19.0,14.0,6.0,7.0,31.0,15.0,1,1,0.8223613
104428,2624392,46,57052,25,27,25.9,3.0,4.0,14.0,25.0,14.0,27.0,1,1,0.82213265
100716,7050249,51,138240,31,33,36.4,9.0,10.0,14.0,18.0,12.0,39.0,1,1,0.8207845
102314,10369720,46,225429,30,14,35.7,23.0,11.0,2.0,10.0,18.0,26.0,1,1,0.820727
103715,21500379,204,105394,59,63,61.9,46.0,37.0,64.0,57.0,17.0,175.0,1,1,0.82039046
103897,6939531,36,192765,24,20,40.0,8.0,6.0,13.0,9.0,4.0,27.0,1,1,0.8193147
100803,1977011,5,395402,4,3,66.7,0.0,0.0,0.0,5.0,0.0,5.0,2,1,0.819241
104250,1978240,8,247280,5,5,40.0,2.0,2.0,3.0,1.0,0.0,5.0,5,1,0.81825686
103838,9607387,64,150115,37,31,29.0,16.0,16.0,13.0,19.0,7.0,55.0,1,1,0.81696993
100418,8818700,89,99087,41,34,44.1,18.0,19.0,19.0,33.0,10.0,68.0,3,1,0.8169365
100897,7120270,29,245527,12,10,40.0,13.0,3.0,5.0,8.0,9.0,20.0,5,1,0.8160263
103418,7235440,59,122635,45,25,36.0,17.0,13.0,5.0,24.0,29.0,30.0,1,1,0.8156794
102278,2966000,3,988667,3,2,100.0,0.0,3.0,0.0,0.0,0.0,3.0,1,1,0.815665
103429,15740347,217,72536,87,122,36.1,33.0,59.0,70.0,55.0,34.0,161.0,1,1,0.81548154
102395,8044020,67,120060,40,31,9.7,5.0,20.0,16.0,26.0,20.0,44.0,1,1,0.81517637
101342,3036484,81,37487,44,46,47.8,20.0,8.0,23.0,30.0,12.0,45.0,5,1,0.81454736
